release,format,source,buy_url,title
6,digital,internal,https://moonleerecords.bandcamp.com/album/trust-this-arcane-device,Bandcamp
6,digital,external,https://itunes.apple.com/gb/album/trust-this-arcane-device/id165035030,iTunes
6,digital,external,http://www.deezer.com/album/1038087,Deezer
6,digital,external,https://open.spotify.com/album/4IIw1oa2WDqZ3yFGCVG4s7,Spotify
6,digital,external,https://play.google.com/store/music/album/Chang_Ffos_Trust_This_Arcane_Device?id=By6jvg2gws3lbjoz67qy3gmhsty&hl=en,Google Play Music
7,cd,internal,http://store.moonleerecords.com/hitch-we-are-electric-cd.html,
7,lp,internal,http://store.moonleerecords.com/hitch-we-are-electric-12inch-vinyl.html,
7,digital,external,https://moonleerecords.bandcamp.com/album/we-are-electric,Bandcamp
7,digital,external,https://itunes.apple.com/si/album/we-are-electric!/id165037015,iTunes
7,digital,external,http://www.deezer.com/album/1038086,Deezer
7,digital,external,https://open.spotify.com/album/4VVPHtNNVASNEuRp69bmKZ,Spotify
7,digital,external,https://play.google.com/store/music/album/Hitch_We_Are_Electric?id=Bksoylvpmjvcwfsvp77vuosealu&hl=en,Google Play Music
8,digital,internal,https://moonleerecords.bandcamp.com/album/the-acracy-discourse,Bandcamp
8,digital,external,https://itunes.apple.com/gb/album/the-acracy-discourse/id207154057,iTunes
8,digital,external,http://www.deezer.com/album/1039417,Deezer
8,digital,external,https://open.spotify.com/album/42jXEYIqZkVT1yITRY4PED,Spotify
8,digital,external,https://play.google.com/store/music/album/Senata_Fox_The_Acracy_Discourse?id=B7xvh2tqxcsisejuhneqdkpwc6q&hl=en,Google Play Music
9,cd,internal,http://store.moonleerecords.com/debeli-precjednik-through-the-eyes-cd.html,
9,digital,internal,https://moonleerecords.bandcamp.com/album/through-the-eyes-of-the-innocent,Bandcamp
9,digital,external,https://itunes.apple.com/gb/album/through-eyes-innocent/id165034303,iTunes
9,digital,external,http://www.deezer.com/album/1038089,Deezer
9,digital,external,https://open.spotify.com/album/21wJ9oYh1RyySRN3mz2xIs,Spotify
9,digital,external,https://play.google.com/store/music/album/Debeli_Precjednik_Fat_Prezident_Through_The_Eyes_O?id=Bp4jcz5vfklnieiz2npnxehyheu&hl=en,Google Play Music
10,cd,internal,http://store.moonleerecords.com/vuneny-v2-cd.html,
10,digital,internal,https://moonleerecords.bandcamp.com/album/v2,Bandcamp
10,digital,external,https://itunes.apple.com/us/album/v2/id204863582,iTunes
10,digital,external,http://www.deezer.com/album/1039418,Deezer
10,digital,external,https://open.spotify.com/album/6aLj9dPdGHW0f5lfNWABMQ,Spotify
10,digital,external,https://play.google.com/store/music/album/Vuneny_V2?id=Bdemz5z75nbsvppam3b5j6kc2uu&hl=en,Google Play Music
11,cd,internal,http://store.moonleerecords.com/cog-course-over-ground-cd.html,
11,digital,internal,https://moonleerecords.bandcamp.com/album/course-over-ground,Bandcamp
11,digital,external,https://itunes.apple.com/us/album/course-over-ground/id207227000,iTunes
11,digital,external,http://www.deezer.com/album/1039415,Deezer
11,digital,external,https://open.spotify.com/album/1GYqZeRN3Rn9pS4wIEnWZL,Spotify
11,digital,external,https://play.google.com/store/music/album/Cog_Course_Over_Ground?id=Beglsnympdyhfion2qucovuczua&hl=en,Google Play Music
12,cd,internal,http://store.moonleerecords.com/dmwt-los-dias-de-junio-cd.html,
12,lp,internal,http://store.moonleerecords.com/dmwt-los-dias-de-junio-12inch-vinyl.html,
12,digital,internal,https://moonleerecords.bandcamp.com/album/los-dias-de-junio,Bandcamp
12,digital,external,https://itunes.apple.com/us/album/los-dias-de-junio/id262709325,iTunes
12,digital,external,http://www.deezer.com/album/1042681,Deezer
12,digital,external,https://open.spotify.com/album/7uuLoQGdREn75DbOYSUkp4,Spotify
12,digital,external,https://play.google.com/store/music/album/Don_t_Mess_With_Texas_Los_Dias_De_Junio?id=Bdx4nsuo5e7i5vmub2b5tj74say&hl=en,Google Play Music
13,cd,internal,http://store.moonleerecords.com/psycho-path-the-ass-soul-of-psycho-path-cd.html,
13,digital,internal,https://moonleerecords.bandcamp.com/album/the-ass-soul-of-psycho-path,Bandcamp
13,digital,external,https://itunes.apple.com/bs/album/the-ass-soul-of-psycho-path/id274366633,iTunes
13,digital,external,http://www.deezer.com/album/1044316,Deezer
13,digital,external,https://open.spotify.com/album/6eTl3owyc0pXTiQXlpaopG,Spotify
13,digital,external,https://play.google.com/store/music/album/Psycho_Path_The_Ass_Soul_of_Psycho_Path?id=Bmo2xmf3r5i3nkek7kiktog5j6i&hl=en,Google Play Music
14,cd,internal,http://store.moonleerecords.com/damir-avdic-mrtvi-su-mrtvi-cd.html,
14,digital,internal,https://moonleerecords.bandcamp.com/album/mrtvi-su-mrtvi,Bandcamp
14,digital,external,https://itunes.apple.com/us/album/mrtvi-su-mrtvi/id275174208,iTunes
14,digital,external,http://www.deezer.com/album/232875,Deezer
14,digital,external,https://open.spotify.com/album/7DupvSpSKYfjr9O4HG0qrM,Spotify
14,digital,external,https://play.google.com/store/music/album/Damir_Avdi_Mrtvi_Su_Mrtvi?id=Bfxemivhc4tsajeo676peeti5ia&hl=en,Google Play Music
15,cd,internal,http://store.moonleerecords.com/hesus-attor-sonic-gastronomy-volume-one-cd.html,
15,digital,internal,https://moonleerecords.bandcamp.com/album/sonic-gastronomy-volume-1,Bandcamp
15,digital,external,https://itunes.apple.com/us/album/arbeit/id285480943?i=285481115&at=moneystaff1%40gmail.com&ign-mpt=uo%3D4,iTunes
15,digital,external,http://www.deezer.com/album/1088754,Deezer
15,digital,external,https://open.spotify.com/album/4DEQYf2UCSQLRxY6ssuZzP,Spotify
15,digital,external,https://play.google.com/store/music/album/Hesus_Attor_Sonic_Gastronomy_Volume_1?id=Bjqmdjqzr3dfh2qqo6b24kst3wm&hl=en,Google Play Music
16,cd,internal,http://store.moonleerecords.com/bernays-propaganda-happiness-machines-cd.html,
16,digital,internal,https://moonleerecords.bandcamp.com/album/happiness-machines,Bandcamp
16,digital,external,https://itunes.apple.com/us/album/happiness-machines/id308943114,iTunes
16,digital,external,http://www.deezer.com/album/1047432,Deezer
16,digital,external,https://open.spotify.com/album/0Yl2zetVv5l5BRKqYnu1Rr,Spotify
16,digital,external,https://play.google.com/store/music/album/Bernays_Propaganda_Happiness_Machines?id=Bpjdk5d5jnwwaqcwuhre3xbk7be&hl=en,Google Play Music
17,cd,internal,http://store.moonleerecords.com/analena-inconstantinopolis-cd.html,
