artist,url_type,url
26,lastfm,http://www.last.fm/music/Vlasta+Popi%C4%87
26,bandcamp,https://vlastapopic.bandcamp.com/
26,discogs,https://www.discogs.com/artist/2636883-Vlasta-Popi%C4%87
26,deezer,http://www.deezer.com/artist/5204250
26,google_music,https://play.google.com/store/music/artist/Vlasta_Popi%C4%87?id=Achiknef7h3vjtemylftdciuf7q&hl=en
26,spotify,https://open.spotify.com/artist/1sUdCgb334Q5cxI26ewlTR
27,facebook,https://www.facebook.com/Vuneny/?fref=ts
27,lastfm,http://www.last.fm/music/Vuneny
27,discogs,https://www.discogs.com/artist/1045935-Vuneny
27,deezer,http://www.deezer.com/artist/334500
27,google_music,https://play.google.com/store/music/artist/Vuneny?id=Acobhb5cblzawnu357pdwb7jubm&hl=en
27,spotify,https://open.spotify.com/artist/7zFHfaslnARG1DyDmMcqN2
28,website,http://www.werefoxband.com
28,facebook,https://www.facebook.com/werefoxmusic
28,twitter,https://twitter.com/werefoxband
28,instagram,https://www.instagram.com/werefox/
28,lastfm,http://www.last.fm/music/Werefox
28,bandcamp,https://werefoxband.bandcamp.com/
28,discogs,https://www.discogs.com/artist/4863562-Werefox
28,deezer,http://www.deezer.com/artist/9673500
28,google_music,https://play.google.com/store/music/artist/Werefox?id=Azyf727swg434ig6mmgsicmaeem&hl=en
28,spotify,https://open.spotify.com/artist/4uFKNbEeoV34WVYIqJf9l1
29,lastfm,http://www.last.fm/music/Xaxaxa
29,bandcamp,https://xaxaxa.bandcamp.com/
29,discogs,https://www.discogs.com/artist/3058936-Xaxaxa
29,deezer,http://www.deezer.com/artist/1388452
29,google_music,https://play.google.com/store/music/artist/XAXAXA?id=A5fqls4ejv3ezeznxvtoi5d2mnm&hl=en
29,spotify,https://open.spotify.com/artist/29Itoo2y6owIcxJYFB36mT
